name,id,parent_id/id,type
Saleable,qms_product_category_saleable,,
Material,qms_product_category_material,,normal
Garam,qms_product_category_rawmat_1,qms_product_category_material,normal
Gula,qms_product_category_rawmat_2,qms_product_category_material,normal
Bawang Putih,qms_product_category_rawmat_3,qms_product_category_material,normal
Bawang Putih Bubuk,qms_product_category_rawmat_4,qms_product_category_material,normal
Bawang Merah,qms_product_category_rawmat_5,qms_product_category_material,normal
Merica Putih,qms_product_category_rawmat_6,qms_product_category_material,normal
Lemak Ayam,qms_product_category_rawmat_7,qms_product_category_material,normal
Chicken Extract Meat Powder,qms_product_category_rawmat_8,qms_product_category_material,normal
Frozen Chicken,qms_product_category_rawmat_9,qms_product_category_material,normal
Meaty Flavour Seasoning Mn,qms_product_category_rawmat_10,qms_product_category_material,normal
Meaty Flavour Seasoning Tz,qms_product_category_rawmat_11,qms_product_category_material,normal
Kcl (Kalium Klorida),qms_product_category_rawmat_12,qms_product_category_material,normal
Lactic Acid Powder (Purac Powder 60),qms_product_category_rawmat_13,qms_product_category_material,normal
Dl-Methionine,qms_product_category_rawmat_14,qms_product_category_material,normal
Vitamin E (Dl-Alpha Tocopheryl Acetate),qms_product_category_rawmat_15,qms_product_category_material,normal
Maltodekstrin,qms_product_category_rawmat_16,qms_product_category_material,normal
Meat Taste Seasoning,qms_product_category_rawmat_17,qms_product_category_material,normal
Beef Flavour Seasoning,qms_product_category_rawmat_18,qms_product_category_material,normal
Tepung Tapioka,qms_product_category_rawmat_19,qms_product_category_material,normal
Tepung Terigu,qms_product_category_rawmat_20,qms_product_category_material,normal
Tepung Kecap,qms_product_category_rawmat_21,qms_product_category_material,normal
Paprika Oleoresin,qms_product_category_rawmat_22,qms_product_category_material,normal
Bubuk Kari,qms_product_category_rawmat_23,qms_product_category_material,normal
Cabai Merah Bubuk,qms_product_category_rawmat_24,qms_product_category_material,normal
Kunyit Bubuk,qms_product_category_rawmat_25,qms_product_category_material,normal
Jahe Pasta,qms_product_category_rawmat_26,qms_product_category_material,normal
Cengkeh Bubuk,qms_product_category_rawmat_27,qms_product_category_material,normal
Bubuk Buttermilk,qms_product_category_rawmat_28,qms_product_category_material,normal
Kokumi Taste Seasoning,qms_product_category_rawmat_29,qms_product_category_material,normal
Rbd Soybean Oil,qms_product_category_rawmat_30,qms_product_category_material,normal
Aji-Aroma M-Rck100,qms_product_category_rawmat_31,qms_product_category_material,normal
Bumbu Kokumi,qms_product_category_rawmat_32,qms_product_category_material,normal
Oyster Extract,qms_product_category_rawmat_33,qms_product_category_material,normal
Kecap Asin,qms_product_category_rawmat_34,qms_product_category_material,normal
Air,qms_product_category_rawmat_35,qms_product_category_material,normal
M-Pe (Pepper Enhancer),qms_product_category_support_mat_1,qms_product_category_material,normal
Perisa Alami Bawang Putih,qms_product_category_support_mat_2,qms_product_category_material,normal
Perisa Identik Alami Bawang Putih,qms_product_category_support_mat_3,qms_product_category_material,normal
Perisa Identik Alami Merica Hitam,qms_product_category_support_mat_4,qms_product_category_material,normal
Perisa Identik Alami Cabai,qms_product_category_support_mat_5,qms_product_category_material,normal
Perisa Identik Alami Lime,qms_product_category_support_mat_6,qms_product_category_material,normal
Perisa Identik Alami Daging Ayam,qms_product_category_support_mat_7,qms_product_category_material,normal
Perisa Identik Alami Daging Sapi,qms_product_category_support_mat_8,qms_product_category_material,normal
Perisa Artifisial Kecap,qms_product_category_support_mat_9,qms_product_category_material,normal
Perisa Artifisial Bawang Merah,qms_product_category_support_mat_10,qms_product_category_material,normal
Monosodium Glutamate,qms_product_category_support_mat_11,qms_product_category_material,normal
Nukleotida,qms_product_category_support_mat_12,qms_product_category_material,normal
Pewarna,qms_product_category_support_mat_13,qms_product_category_material,normal
Sodium Bicarbonate,qms_product_category_support_mat_14,qms_product_category_material,normal
Asam Sitrat,qms_product_category_support_mat_15,qms_product_category_material,normal
Asam Laktat,qms_product_category_support_mat_16,qms_product_category_material,normal
Potassium Sorbate,qms_product_category_support_mat_17,qms_product_category_material,normal
Pengental,qms_product_category_support_mat_18,qms_product_category_material,normal
Pati Modifikasi,qms_product_category_support_mat_19,qms_product_category_material,normal
Pemanis Buatan,qms_product_category_support_mat_20,qms_product_category_material,normal
Asam Asetat,qms_product_category_support_mat_21,qms_product_category_material,normal
Distilled Monoglycerides (Myverol 18-04 K),qms_product_category_support_mat_22,qms_product_category_material,normal
